kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,1,0.9285714030265808,"[[409  26   5   1]
 [  9 406   4   1]
 [  0   3  63   0]
 [  0   8  21 136]]",26,0.9476761817932129,0.052323807030916214,"V15: 0.41
V14: 0.21
V20: 0.20","V12: 0.55
V13: 0.47
V2: 0.44"
12,8,0.001,2,0.9084249138832092,"[[409  28   4   0]
 [ 22 383  15   0]
 [  0   8  58   0]
 [  0   1  22 142]]",6,0.9994131326675415,0.0005868227453902364,"V20: 0.33
V15: 0.30
V19: 0.27","V15: 0.32
V24: 0.32
V10: 0.31"
12,8,0.001,4,0.9239926934242249,"[[415  23   2   1]
 [ 13 401   5   1]
 [  0  10  50   6]
 [  0   3  19 143]]",11,0.9466075897216797,0.05339239910244942,"V20: 0.26
V15: 0.26
V19: 0.20","V16: 0.36
V21: 0.27
V17: 0.25"
12,8,0.001,6,0.9368131756782532,"[[420  19   1   1]
 [ 11 402   6   1]
 [  0   7  59   0]
 [  0   4  19 142]]",14,0.9421271681785583,0.05787278711795807,"V15: 0.33
V20: 0.21
V13: 0.21","V21: 0.59
V16: 0.58
V11: 0.50"
12,8,0.001,8,0.9313187003135681,"[[410  23   8   0]
 [  7 404   9   0]
 [  2   4  60   0]
 [  0   5  17 143]]",28,0.9724671840667725,0.027532855048775673,"V20: 0.24
V15: 0.22
V19: 0.21","V8: 0.40
V13: 0.35
V3: 0.33"
12,8,0.001,10,0.9075091481208801,"[[413  22   5   1]
 [ 18 384  17   1]
 [  0   9  53   4]
 [  0   5  19 141]]",16,0.9329527020454407,0.06704729795455933,"V15: 0.22
V9: 0.20
V20: 0.20","V8: 0.50
V13: 0.49
V3: 0.40"
12,8,0.001,12,0.8992673754692078,"[[399  38   3   1]
 [ 19 388  12   1]
 [  0   8  57   1]
 [  1   2  24 138]]",17,0.8725608587265015,0.12743906676769257,"V15: 0.30
V19: 0.27
V20: 0.27","V10: 0.39
V3: 0.33
V1: 0.29"
12,8,0.001,14,0.9239926934242249,"[[410  26   3   2]
 [  8 403   9   0]
 [  0   9  53   4]
 [  0   5  17 143]]",19,0.9473459124565125,0.05265406519174576,"V15: 0.27
V20: 0.24
V19: 0.21","V14: 0.35
V13: 0.31
V9: 0.31"
6,7,1e-05,1,0.8580586314201355,"[[390  48   3   0]
 [ 30 372  16   2]
 [  1  14  48   3]
 [  0   7  31 127]]",24,0.8012676239013672,0.1987324208021164,"V20: 0.24
V19: 0.24
V15: 0.23","V8: 0.63
V13: 0.54
V7: 0.50"
6,7,1e-05,2,0.8360806107521057,"[[383  53   5   0]
 [ 33 355  31   1]
 [  2   6  57   1]
 [  2  10  35 118]]",29,0.704308271408081,0.29569169878959656,"V20: 0.25
V19: 0.23
V5: 0.23","V17: 0.39
V18: 0.37
V13: 0.34"
6,7,1e-05,4,0.8644688725471497,"[[394  43   3   1]
 [ 33 369  15   3]
 [  0  12  52   2]
 [  0   7  29 129]]",17,0.7664399147033691,0.23356004059314728,"V19: 0.32
V15: 0.25
V20: 0.23","V16: 0.50
V6: 0.42
V11: 0.39"
6,7,1e-05,6,0.9111721515655518,"[[406  30   4   1]
 [ 19 397   3   1]
 [  3   4  57   2]
 [  1   3  26 135]]",9,0.8592607378959656,0.14073926210403442,"V15: 0.21
V19: 0.20
V14: 0.19","V10: 0.50
V5: 0.44
V9: 0.39"
6,7,1e-05,8,0.9139193892478943,"[[403  34   3   1]
 [ 13 401   4   2]
 [  1   6  57   2]
 [  2   1  25 137]]",22,0.7502537965774536,0.249746173620224,"V20: 0.28
V15: 0.24
V19: 0.22","V14: 0.70
V15: 0.63
V13: 0.61"
6,7,1e-05,10,0.9038461446762085,"[[407  30   3   1]
 [ 20 396   3   1]
 [  1   8  54   3]
 [  1   3  31 130]]",14,0.7374781370162964,0.2625218629837036,"V15: 0.27
V19: 0.23
V20: 0.20","V13: 0.42
V14: 0.39
V8: 0.36"
6,7,1e-05,12,0.8965201377868652,"[[407  30   3   1]
 [ 23 379  15   3]
 [  0  11  52   3]
 [  0   4  20 141]]",23,0.6972979307174683,0.30270206928253174,"V19: 0.28
V15: 0.27
V20: 0.25","V16: 0.47
V11: 0.39
V21: 0.35"
10,8,0.001,1,0.91300368309021,"[[415  22   4   0]
 [ 17 384  19   0]
 [  0   6  60   0]
 [  0   2  25 138]]",5,0.9999999403953552,6.691116283263909e-08,"V20: 0.26
V15: 0.23
V19: 0.20","V22: 0.41
V24: 0.38
V23: 0.35"
10,8,0.001,5,0.9267399311065674,"[[410  28   2   1]
 [  6 407   6   1]
 [  1   8  54   3]
 [  1   3  20 141]]",14,0.9450161457061768,0.05498383566737175,"V15: 0.26
V19: 0.23
V5: 0.17","V16: 0.50
V11: 0.46
V13: 0.40"
10,8,0.001,8,0.9093406796455383,"[[399  38   3   1]
 [ 13 394  10   3]
 [  1   8  54   3]
 [  0   6  13 146]]",20,0.8915054798126221,0.1084946021437645,"V15: 0.33
V20: 0.25
V19: 0.23","V19: 0.41
V23: 0.38
V22: 0.38"
10,8,0.001,10,0.9276556968688965,"[[418  19   3   1]
 [ 16 396   8   0]
 [  0   8  56   2]
 [  0   6  16 143]]",37,0.9025477170944214,0.09745226055383682,"V20: 0.28
V15: 0.27
V19: 0.24","V11: 0.32
V16: 0.25
V6: 0.19"
10,8,0.001,15,0.9294871687889099,"[[412  27   1   1]
 [  9 404   6   1]
 [  0   7  58   1]
 [  0   3  21 141]]",39,0.8869238495826721,0.1130761206150055,"V15: 0.36
V12: 0.25
V19: 0.23","V18: 0.51
V13: 0.46
V17: 0.43"
10,8,0.001,20,0.9331501722335815,"[[415  22   3   1]
 [  9 401  10   0]
 [  0   5  61   0]
 [  0   4  19 142]]",27,0.9575441479682922,0.042455870658159256,"V15: 0.35
V20: 0.25
V19: 0.21","V3: 0.50
V2: 0.46
V11: 0.43"
11,7,0.001,1,0.9084249138832092,"[[401  34   5   1]
 [ 20 395   5   0]
 [  1   6  54   5]
 [  0   6  17 142]]",13,0.9998133778572083,0.0001866822422016412,"V15: 0.28
V20: 0.26
V19: 0.20","V24: 0.29
V19: 0.27
V14: 0.26"
