kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
12,8,0.001,0.75,0.9358974099159241,"[[416  21   3   1]
 [ 11 399  10   0]
 [  0   4  62   0]
 [  1   2  17 145]]",11,0.6444101929664612,0.35558977723121643,"V20: 0.32
V19: 0.32
V15: 0.19","V23: 0.39
V24: 0.36
V22: 0.33"
12,8,0.001,0.75,0.9358974099159241,"[[416  21   3   1]
 [ 11 399  10   0]
 [  0   4  62   0]
 [  1   2  17 145]]",11,0.6444101929664612,0.35558977723121643,"V20: 0.32
V19: 0.32
V15: 0.19","V23: 0.39
V24: 0.36
V22: 0.33"
12,8,0.001,0.5,0.930402934551239,"[[412  25   3   1]
 [ 14 400   5   1]
 [  0   3  62   1]
 [  0   6  17 142]]",11,0.5086371898651123,0.4913628101348877,"V19: 0.32
V20: 0.26
V15: 0.25","Ex1: 0.22
V17: 0.17
V24: 0.17"
12,8,0.001,0.5,0.9377289414405823,"[[412  26   2   1]
 [  7 407   6   0]
 [  0   6  59   1]
 [  0   5  14 146]]",13,0.6275885701179504,0.37241142988204956,"V20: 0.30
V15: 0.29
V19: 0.28","V23: 0.37
V22: 0.36
V24: 0.35"
12,8,0.001,0.25,0.9368131756782532,"[[421  17   2   1]
 [ 12 402   6   0]
 [  0   9  55   2]
 [  0   5  15 145]]",8,0.6089813709259033,0.3910185694694519,"V15: 0.32
V19: 0.26
V20: 0.25","V14: 0.39
V18: 0.37
V13: 0.37"
12,8,0.001,0.25,0.9276556968688965,"[[413  25   2   1]
 [ 15 397   8   0]
 [  0   4  62   0]
 [  0   4  20 141]]",11,0.8169118762016296,0.18308815360069275,"V20: 0.29
V15: 0.27
V19: 0.24","Ex1: 0.35
V19: 0.31
V20: 0.29"
12,8,0.001,0.1,0.9148351550102234,"[[406  31   3   1]
 [ 15 394  11   0]
 [  0   8  57   1]
 [  0   2  21 142]]",5,0.8517117500305176,0.14828823506832123,"V20: 0.29
V19: 0.27
V15: 0.23","V23: 0.29
V24: 0.28
V10: 0.24"
12,8,0.001,0.1,0.9148351550102234,"[[406  31   3   1]
 [ 15 394  11   0]
 [  0   8  57   1]
 [  0   2  21 142]]",5,0.8517117500305176,0.14828823506832123,"V20: 0.29
V19: 0.27
V15: 0.23","V23: 0.29
V24: 0.28
V10: 0.24"
12,8,0.001,0.05,0.9111721515655518,"[[416  23   2   0]
 [ 24 388   8   0]
 [  0   6  59   1]
 [  0   5  28 132]]",4,0.7802456617355347,0.21975427865982056,"V15: 0.31
V19: 0.25
V20: 0.23","V23: 0.30
V24: 0.28
V22: 0.24"
12,8,0.001,0.05,0.9084249138832092,"[[409  28   3   1]
 [ 20 385  15   0]
 [  0   7  58   1]
 [  0   4  21 140]]",13,0.9437035322189331,0.05629647895693779,"V19: 0.31
V15: 0.28
V20: 0.23","V8: 0.32
V23: 0.32
V24: 0.31"
5,7,1e-07,0.75,0.9056776762008667,"[[410  27   3   1]
 [ 16 398   5   1]
 [  1   8  54   3]
 [  2   4  32 127]]",28,0.18685291707515717,0.8131471276283264,"V15: 0.39
V20: 0.29
V11: 0.22","V8: 0.16
V14: 0.16
V24: 0.16"
5,7,1e-07,0.75,0.9075091481208801,"[[402  34   4   1]
 [ 17 397   5   1]
 [  0   8  55   3]
 [  0   5  23 137]]",26,0.19598516821861267,0.8040148615837097,"V15: 0.42
V14: 0.26
V20: 0.25","V24: 0.30
V23: 0.22
V18: 0.20"
5,7,1e-07,0.5,0.8791208863258362,"[[398  40   3   0]
 [ 31 379   9   1]
 [  0  10  55   1]
 [  0   3  34 128]]",23,0.1161397248506546,0.8838602304458618,"V15: 0.27
V5: 0.25
V19: 0.22","V15: 0.32
V20: 0.31
V10: 0.30"
5,7,1e-07,0.5,0.8791208863258362,"[[398  40   3   0]
 [ 31 379   9   1]
 [  0  10  55   1]
 [  0   3  34 128]]",23,0.1161397248506546,0.8838602304458618,"V15: 0.27
V5: 0.25
V19: 0.22","V15: 0.32
V20: 0.31
V10: 0.30"
5,7,1e-07,0.25,0.8708791136741638,"[[399  38   3   1]
 [ 34 370  15   1]
 [  1   9  50   6]
 [  1   4  28 132]]",13,0.1676098257303238,0.8323901891708374,"V15: 0.51
V20: 0.30
V13: 0.22","V19: 0.37
V18: 0.33
V13: 0.29"
5,7,1e-07,0.25,0.8644688725471497,"[[395  44   1   1]
 [ 36 362  22   0]
 [  0  11  53   2]
 [  1   3  27 134]]",15,0.17902697622776031,0.8209730386734009,"V15: 0.50
V20: 0.27
V13: 0.23","V17: 0.31
V18: 0.30
V19: 0.29"
5,7,1e-07,0.1,0.9120879173278809,"[[403  32   5   1]
 [ 13 399   8   0]
 [  0   7  56   3]
 [  1   3  23 138]]",8,0.2619480788707733,0.7380518913269043,"V15: 0.38
V20: 0.33
V13: 0.22","V3: 0.25
V2: 0.25
V13: 0.24"
5,7,1e-07,0.1,0.9120879173278809,"[[403  32   5   1]
 [ 13 399   8   0]
 [  0   7  56   3]
 [  1   3  23 138]]",8,0.2619480788707733,0.7380518913269043,"V15: 0.38
V20: 0.33
V13: 0.22","V3: 0.25
V2: 0.25
V13: 0.24"
5,7,1e-07,0.05,0.9120879173278809,"[[409  27   4   1]
 [ 16 389  14   1]
 [  0   8  58   0]
 [  0   3  22 140]]",7,0.26141661405563354,0.7385833859443665,"V20: 0.32
V15: 0.31
V19: 0.26","V5: 0.25
V16: 0.25
V11: 0.24"
5,7,1e-07,0.05,0.906593382358551,"[[409  29   2   1]
 [ 20 389  11   0]
 [  0   9  56   1]
 [  0   3  26 136]]",6,0.28970426321029663,0.7102957367897034,"V15: 0.32
V20: 0.30
V19: 0.29","V11: 0.27
V16: 0.27
V17: 0.24"
7,8,0.001,0.75,0.9075091481208801,"[[413  23   3   2]
 [ 16 391  12   1]
 [  1  10  55   0]
 [  0   8  25 132]]",27,0.5522502660751343,0.4477497935295105,"V15: 0.41
V19: 0.33
V20: 0.32","V13: 0.35
V3: 0.33
V18: 0.32"
7,8,0.001,0.75,0.9075091481208801,"[[413  23   3   2]
 [ 16 391  12   1]
 [  1  10  55   0]
 [  0   8  25 132]]",27,0.5522502660751343,0.4477497935295105,"V15: 0.41
V19: 0.33
V20: 0.32","V13: 0.35
V3: 0.33
V18: 0.32"
7,8,0.001,0.5,0.9267399311065674,"[[419  18   3   1]
 [ 19 390   9   2]
 [  0   6  59   1]
 [  0   4  17 144]]",22,0.577312707901001,0.42268723249435425,"V15: 0.37
V20: 0.30
V19: 0.27","V4: 0.27
V3: 0.26
V2: 0.23"
7,8,0.001,0.5,0.901098906993866,"[[400  36   5   0]
 [ 20 386  12   2]
 [  1   7  58   0]
 [  0   4  21 140]]",22,0.4684874415397644,0.5315125584602356,"V15: 0.40
V19: 0.30
V20: 0.27","V18: 0.32
V17: 0.29
V19: 0.28"
7,8,0.001,0.25,0.9120879173278809,"[[414  21   5   1]
 [ 18 384  18   0]
 [  2   7  53   4]
 [  0   4  16 145]]",20,0.6860918998718262,0.31390807032585144,"V15: 0.40
V19: 0.27
V20: 0.25","V23: 0.34
V22: 0.30
V24: 0.30"
7,8,0.001,0.25,0.9120879173278809,"[[414  21   5   1]
 [ 18 384  18   0]
 [  2   7  53   4]
 [  0   4  16 145]]",20,0.6860918998718262,0.31390807032585144,"V15: 0.40
V19: 0.27
V20: 0.25","V23: 0.34
V22: 0.30
V24: 0.30"
7,8,0.001,0.1,0.9276556968688965,"[[407  31   2   1]
 [  6 405   9   0]
 [  2   5  59   0]
 [  1   4  18 142]]",38,0.9970651865005493,0.0029348256066441536,"V15: 0.30
V19: 0.24
V20: 0.20","V23: 0.33
V22: 0.33
V24: 0.31"
7,8,0.001,0.1,0.9276556968688965,"[[407  31   2   1]
 [  6 405   9   0]
 [  2   5  59   0]
 [  1   4  18 142]]",38,0.9970651865005493,0.0029348256066441536,"V15: 0.30
V19: 0.24
V20: 0.20","V23: 0.33
V22: 0.33
V24: 0.31"
7,8,0.001,0.01,0.9084249138832092,"[[405  32   3   1]
 [ 18 386  15   1]
 [  1   7  55   3]
 [  0   5  14 146]]",26,0.9016517400741577,0.09834828972816467,"V15: 0.35
V20: 0.31
V19: 0.24","V18: 0.29
V17: 0.29
V22: 0.29"
7,8,0.001,0.01,0.9084249138832092,"[[405  32   3   1]
 [ 18 386  15   1]
 [  1   7  55   3]
 [  0   5  14 146]]",26,0.9016517400741577,0.09834828972816467,"V15: 0.35
V20: 0.31
V19: 0.24","V18: 0.29
V17: 0.29
V22: 0.29"
9,8,0.001,0.75,0.9093406796455383,"[[414  23   3   1]
 [ 20 392   7   1]
 [  0   9  55   2]
 [  0   5  28 132]]",26,0.33542582392692566,0.664574146270752,"V20: 0.29
V19: 0.27
V15: 0.26","V13: 0.31
V8: 0.30
V23: 0.29"
9,8,0.001,0.5,0.9239926934242249,"[[411  24   6   0]
 [  9 403   6   2]
 [  0   8  57   1]
 [  0   4  23 138]]",31,0.3445892035961151,0.6554108262062073,"V20: 0.33
V19: 0.33
V15: 0.22","V18: 0.49
V19: 0.46
V13: 0.42"
9,8,0.001,0.5,0.9148351550102234,"[[406  31   3   1]
 [ 16 392  11   1]
 [  0   8  57   1]
 [  0   6  15 144]]",28,0.552798867225647,0.44720110297203064,"V20: 0.39
V19: 0.28
V15: 0.27","V19: 0.25
V21: 0.24
V22: 0.24"
9,8,0.001,0.25,0.9239926934242249,"[[408  29   3   1]
 [ 16 398   5   1]
 [  0   4  60   2]
 [  0   4  18 143]]",11,0.6535099148750305,0.3464900851249695,"V20: 0.38
V19: 0.38
V15: 0.25","V24: 0.35
V23: 0.34
V22: 0.32"
9,8,0.001,0.25,0.9285714030265808,"[[412  22   6   1]
 [ 12 402   5   1]
 [  0   8  57   1]
 [  0   4  18 143]]",8,0.5666803121566772,0.43331965804100037,"V19: 0.36
V20: 0.35
V15: 0.20","V20: 0.35
V19: 0.30
V15: 0.29"
9,8,0.001,0.1,0.9258241653442383,"[[404  29   8   0]
 [  8 411   1   0]
 [  1   6  56   3]
 [  2   5  18 140]]",11,0.7495735287666321,0.2504265010356903,"V15: 0.41
V9: 0.24
V19: 0.23","V15: 0.26
V20: 0.26
V10: 0.23"
9,8,0.001,0.1,0.930402934551239,"[[412  24   5   0]
 [  7 410   2   1]
 [  0   7  58   1]
 [  0   6  23 136]]",17,0.8102676868438721,0.18973232805728912,"V15: 0.31
V13: 0.23
V19: 0.23","V20: 0.32
V15: 0.28
Ex1: 0.24"
4,8,0.001,0.05,0.918498158454895,"[[413  22   5   1]
 [ 18 392   9   1]
 [  0   6  54   6]
 [  1   4  16 144]]",37,0.9522611498832703,0.04773883894085884,"V15: 0.41
V20: 0.34
V19: 0.21","V18: 0.25
V17: 0.25
V19: 0.23"
