kan_neurons,kan_grid,lamb,ACC,Best_Epoch
13,3,0.1,0.38461539149284363,0
13,3,0.01,0.8836996555328369,29
13,3,0.001,0.8205128312110901,95
13,3,0.0001,0.7866300344467163,16
13,3,1e-05,0.7976190447807312,48
13,3,1e-06,0.7957875728607178,92
13,3,1e-07,0.7985348105430603,53
13,4,0.1,0.38461539149284363,0
13,4,0.01,0.8717948794364929,21
13,4,0.001,0.8507326245307922,59
13,4,0.0001,0.819597065448761,42
13,4,1e-05,0.8150182962417603,88
13,4,1e-06,0.8177655935287476,46
13,4,1e-07,0.7957875728607178,62
13,5,0.1,0.38461539149284363,0
13,5,0.01,0.8708791136741638,39
13,5,0.001,0.8663003444671631,57
13,5,0.0001,0.8113552927970886,55
13,5,1e-05,0.843406617641449,42
13,5,1e-06,0.8177655935287476,71
13,5,1e-07,0.8296703100204468,74
13,6,0.1,0.38461539149284363,0
13,6,0.01,0.8818681240081787,27
13,6,0.001,0.8260073065757751,92
13,6,0.0001,0.8177655935287476,77
13,6,1e-05,0.8113552927970886,74
13,6,1e-06,0.8168498277664185,55
13,6,1e-07,0.8086080551147461,35
13,7,0.1,0.38461539149284363,0
13,7,0.01,0.8690476417541504,41
13,7,0.001,0.8534798622131348,75
13,7,0.0001,0.8324176073074341,31
13,7,1e-05,0.807692289352417,83
13,7,1e-06,0.8150182962417603,40
13,7,1e-07,0.8095238208770752,52
13,8,0.1,0.38461539149284363,0
13,8,0.01,0.8553113341331482,59
13,8,0.001,0.8562270998954773,89
13,8,0.0001,0.8498168587684631,86
13,8,1e-05,0.8049450516700745,46
13,8,1e-06,0.831501841545105,60
13,8,1e-07,0.7930402755737305,49
12,3,0.1,0.38461539149284363,0
12,3,0.01,0.8626373410224915,90
12,3,0.001,0.8672161102294922,39
12,3,0.0001,0.8159340620040894,68
12,3,1e-05,0.7967032790184021,86
12,3,1e-06,0.7957875728607178,35
12,3,1e-07,0.8040292859077454,69
12,4,0.1,0.38461539149284363,0
12,4,0.01,0.8818681240081787,60
12,4,0.001,0.8040292859077454,53
12,4,0.0001,0.7829670310020447,28
12,4,1e-05,0.7893772721290588,32
12,4,1e-06,0.7976190447807312,39
12,4,1e-07,0.773809552192688,38
12,5,0.1,0.38461539149284363,0
12,5,0.01,0.8836996555328369,30
12,5,0.001,0.8360806107521057,97
12,5,0.0001,0.7976190447807312,51
12,5,1e-05,0.7902930378913879,58
12,5,1e-06,0.7875458002090454,80
12,5,1e-07,0.8131868243217468,47
12,6,0.1,0.38461539149284363,0
